"#","Reference","Qty","Value","Footprint","DNP"
"1","J1, J2","2","532540370","Connector_Molex:Molex_Micro-Latch_53253-0370_1x03_P2.00mm_Vertical",""
"2","J3","1","460150206","460150206:MOLEX_460150206",""
"3","Q1, Q2","2","CSD19503KCS","teensyMosfet:teensyMosfet",""
"4","R1, R2, R3, R4","4","R_US","",""
"5","SW1","1","SW_SPST","Button_Switch_SMD:SW_SPST_REED_CT10-XXXX-G4",""
"6","U1","1","~","Teensy 4.1:MODULE_DEV-16771",""
"7","U2","1","~","",""
"8","U3","1","~","adafruit gps:GPS_adafruit",""
"9","U4","1","~","RFModule:RFM_LoRa",""
"10","U5","1","~","poluluRegulator:VoltageRegulator",""
"11","U6","1","~","XT60:AMASS_XT60-M",""
"12","U13","1","~","Trinket M0:Trinket M0",""
"13","U14","1","~","BNO055:BNO055",""
